iter	Passed	Remaining
0	2	276
1	5	247
2	7	242
3	9	227
4	11	221
5	14	223
6	16	218
7	18	215
8	21	213
9	23	213
10	25	209
11	28	209
12	30	207
13	33	204
14	35	201
15	37	199
16	40	196
17	43	196
18	45	193
19	47	190
20	50	188
21	52	186
22	54	183
23	57	182
24	59	179
25	62	176
26	64	174
27	67	172
28	69	170
29	72	168
30	74	166
31	77	163
32	79	161
33	82	161
34	85	158
35	88	157
36	90	154
37	92	151
38	95	149
39	97	146
40	100	144
41	101	140
42	105	139
43	108	137
44	110	135
45	113	133
46	116	131
47	119	129
48	122	127
49	124	124
50	127	122
51	130	120
52	132	117
53	135	115
54	136	111
55	139	109
56	142	107
57	144	104
58	147	102
59	149	99
60	152	97
61	154	94
62	157	92
63	159	89
64	162	87
65	164	84
66	167	82
67	169	79
68	172	77
69	174	74
70	177	72
71	179	69
72	181	67
73	184	64
74	186	62
75	189	59
76	191	57
77	194	54
78	196	52
79	198	49
80	201	47
81	204	44
82	206	42
83	208	39
84	210	37
85	212	34
86	215	32
87	217	29
88	220	27
89	222	24
90	225	22
91	227	19
92	230	17
93	233	14
94	235	12
95	237	9
96	240	7
97	242	4
98	244	2
99	247	0
