iter	Passed	Remaining
0	140	140126
1	142	70967
2	144	47901
3	146	36560
4	148	29605
5	150	24971
6	152	21685
7	155	19247
8	157	17304
9	159	15752
10	161	14521
11	164	13506
12	165	12601
13	167	11812
14	169	11126
15	172	10583
16	173	10054
17	176	9609
18	178	9211
19	180	8859
20	182	8515
21	184	8198
22	186	7931
23	203	8263
24	214	8348
25	216	8112
26	221	7993
27	223	7765
28	225	7563
29	228	7395
30	231	7234
31	233	7061
32	235	6899
33	237	6739
34	239	6592
35	240	6449
36	243	6346
37	246	6227
38	247	6106
39	249	5990
40	251	5883
41	253	5786
42	256	5703
43	259	5634
44	261	5546
45	263	5457
46	264	5372
47	267	5297
48	270	5242
49	272	5179
50	275	5117
51	276	5049
52	278	4983
53	280	4921
54	282	4858
55	285	4810
56	287	4762
57	290	4711
58	291	4656
59	293	4604
60	296	4560
61	298	4514
62	300	4476
63	303	4444
64	305	4399
65	307	4353
66	309	4315
67	311	4272
68	313	4236
69	316	4202
70	318	4171
71	320	4134
72	322	4097
73	324	4063
74	326	4028
75	329	4010
76	332	3982
77	334	3954
78	336	3920
79	338	3888
80	340	3860
81	342	3830
82	343	3795
83	345	3770
84	348	3752
85	350	3723
86	352	3695
87	353	3668
88	355	3641
89	358	3622
90	361	3606
91	363	3586
92	365	3562
93	367	3538
94	369	3517
95	371	3495
96	373	3480
97	377	3470
98	379	3451
99	380	3428
100	382	3408
101	384	3388
102	386	3367
103	388	3350
104	391	3336
105	394	3324
106	396	3307
107	397	3286
108	399	3269
109	402	3255
110	427	3425
111	429	3407
112	432	3392
113	434	3380
114	437	3365
115	439	3350
116	441	3329
117	443	3311
118	444	3293
119	446	3276
120	449	3265
121	451	3248
122	454	3239
123	456	3226
124	458	3210
125	460	3195
126	462	3177
127	466	3178
128	469	3169
129	471	3155
130	473	3140
131	475	3125
132	477	3111
133	479	3098
134	481	3087
135	485	3085
136	488	3074
137	492	3073
138	498	3087
139	501	3082
140	504	3071
141	505	3056
142	508	3050
143	512	3048
144	514	3035
145	516	3022
146	518	3009
147	520	2997
148	522	2985
149	524	2974
150	528	2969
151	530	2959
152	532	2946
153	534	2934
154	536	2923
155	539	2920
156	542	2912
157	545	2905
158	547	2895
159	549	2883
160	550	2868
161	552	2860
162	556	2855
163	559	2852
164	561	2842
165	563	2833
166	566	2823
167	569	2821
168	573	2819
169	575	2810
170	577	2799
171	579	2789
172	581	2780
173	584	2772
174	586	2765
175	589	2759
176	591	2750
177	593	2740
178	595	2730
179	597	2721
180	599	2714
181	602	2710
182	604	2700
183	607	2692
184	609	2685
185	611	2675
186	614	2671
187	617	2665
188	619	2659
189	621	2650
190	623	2641
191	625	2633
192	628	2626
193	631	2623
194	633	2617
195	635	2608
196	637	2600
197	640	2593
198	679	2733
199	682	2729
200	684	2722
201	686	2713
202	689	2705
203	692	2701
204	695	2695
205	697	2688
206	699	2680
207	701	2671
208	704	2664
209	706	2657
210	710	2655
211	712	2648
212	714	2639
213	716	2632
214	718	2624
215	721	2618
216	724	2613
217	726	2606
218	728	2599
219	731	2591
220	733	2584
221	735	2577
222	738	2574
223	741	2568
224	743	2560
225	745	2553
226	747	2545
227	749	2537
228	752	2533
229	755	2529
230	757	2522
231	760	2515
232	762	2509
233	764	2502
234	767	2497
235	769	2492
236	772	2486
237	774	2479
238	776	2471
239	778	2464
240	783	2466
241	787	2465
242	789	2460
243	792	2453
244	794	2447
245	796	2441
246	799	2436
247	801	2431
248	803	2424
249	805	2417
250	808	2411
251	810	2405
252	812	2400
253	815	2396
254	818	2389
255	820	2383
256	822	2376
257	824	2369
258	826	2364
259	828	2359
260	831	2353
261	833	2347
262	835	2341
263	837	2334
264	839	2329
265	842	2323
266	845	2320
267	847	2313
268	849	2307
269	851	2302
270	853	2296
271	856	2291
272	859	2287
273	861	2281
274	863	2276
275	865	2270
